Name,Address,Website,Phone Number,Image URL
Marygreen Manor Hotel & Restaurant,"London Brentwood,CM14",marygreenmanor.co.uk,01277 225252 ,"https://c.yell.com/t_bigRect,f_auto/a7785297-2542-40a5-a58a-14e1248456de_image_jpeg.jpg"
Aron Guest House Ltd,"27 South Ealing Rd, London, W5 4QT",aronguesthouse.co.uk,07947 127778 ,"https://c.yell.com/t_bigRect,f_auto/198e04cd-2a8f-4ea1-aae9-a0307b6cdd71_image_jpeg.jpg"
Mendy Airbnb North West London,London,,020 8051 7001 ,"https://c.yell.com/t_bigRect,f_auto/5425880b-caeb-4ae8-bab9-7f6b8575ccf8_image_jpeg.jpg"
Southend Hall,"Southend Rd, London, E6 2AA",,020 7998 8657 ,"https://c.yell.com/t_bigRect,f_auto/10d49513-4d2d-407a-9209-19e4038c377e_image_png.png"
Marygreen Manor Hotel & Restaurant,"London Brentwood,CM14",marygreenmanor.co.uk,01277 225252 ,"https://c.yell.com/t_bigRect,f_auto/a7785297-2542-40a5-a58a-14e1248456de_image_jpeg.jpg"
St Martins Lane Hotel,"45 St Martin's Lane, London, WC2N 4HX",all.accor.com,020 7300 5500 ,"https://c.yell.com/t_bigSquare,f_auto/e67bcc80-b14e-4c89-bc44-5831030b91ab_image_jpeg.jpg"
Snoozebox Holdings plc,"60 Trafalgar Square, London, WC2N 5DS",snoozebox.com,03450 920174 ,"https://c.yell.com/t_bigSquare,f_auto/53b92708-9632-473b-b1f8-8a7557e303c3_image_jpeg.jpg"
The Trafalgar St James Hotel,"2 Spring Gardens, London, SW1A 2TS",hilton.com,020 7870 2900 ,"https://c.yell.com/t_bigRect,f_auto/92a736e0-1f9e-49cb-8152-c8b1e5d52580_image_jpeg.jpg"
Inter-Continental Hotels & Resorts O2,"Entertainment Avenue, London, SE10 0DY",intercontinental.com,020 3740 5411 ,"https://c.yell.com/t_bigSquare,f_auto/0c81986d-84fd-4645-ad9e-bc21374574d9_image_jpeg.jpg"
President Hotel,"60 Main Rd Radcliffe On Trent, London, WC1N 1DB",imperialhotels.co.uk,020 7837 3655 ,"https://c.yell.com/t_bigSquare,f_auto/a18e2e49-3724-437d-930b-f8415f3d5b1b_image_jpeg.jpg"
Club Quarters,"8 Northumberland Avenue, London, WC2N 5BY",clubquarters.com,020 7451 5600 ,"https://c.yell.com/t_bigRect,f_auto/3cdffb2d-0249-443b-9582-1a254b6a1c08_image_jpeg.jpg"
Chiltern Firehouse Hotel,"1 Gorgie Rd Haymarket, London, W1U 7PA",chilternfirehouse.com,020 7073 7676 ,"https://c.yell.com/t_bigSquare,f_auto/b71689ea-43bd-49e4-9ec2-19378a19c189_image_jpeg.jpg"
Pullman Hotel,"Market St Westhoughton, London, NW1 2AJ",pullmanhotels.com,020 7666 0000 ,"https://c.yell.com/t_bigSquare,f_auto/d8379885-e180-4d14-a4c3-8ecdc7713cae_image_jpeg.jpg"
Hub By Premier Inn London Covent Garden,"110 St. Martin's Lane, London, WC2N 4BA",premierinn.com,0333 321 3104 ,"https://c.yell.com/t_bigRect,f_auto/e5b0a43b-e7a1-44fa-b9ee-ac62376fe08f_image_jpeg.jpg"
The Clermont,"Strand, London, WC2N 5HX",amba-hotel.com,020 7523 5052 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Thistle Hotel Trafalgar,"Whitcomb St, Trafalgar Square, London, WC2H 7HG",thistle.com,020 7925 7000 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Corinthia Hotel,"Whitehall Place, London, SW1A 2BD",corinthialondon.com,020 7930 8181 ,"https://c.yell.com/t_bigSquare,f_auto/63bc2cb2-584f-4ea3-8a2f-02f4448d7fc6_image_jpeg.jpg"
Every Hotel Piccadilly,"High St Erdington, London, W1D 6BZ",,01294 279274 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Z Hotels,"53 Chandos Place, London, WC2N 4HS",,020 3841 0872 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Citadines,"18-21 Northumberland Avenue, London, WC2N 5EA",discoverasr.com,020 7766 3700 ,"https://c.yell.com/t_bigRect,f_auto/7fec41ef-c47f-4022-beb3-cd66a8f046bc_image_jpeg.jpg"
Radisson Blu Edwardian Hampshire Hotel,"31-32 Leicester Square, Westminster, London, WC2H 7LH",radissonhotels.com,020 7839 9399 ,"https://c.yell.com/t_bigRect,f_auto/f9ea61d9-f995-4c8a-a67e-7b235a40253b_image_jpeg.jpg"
Club Quarters Trafalgar Square,"8 Northumberland Avenue, London, WC2N 5BY",,0845 4566399 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Z Hotels,"Whitevale St Bellgrove, London, WC2H 7ED",thezhotels.com,020 3551 3720 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
